Information of pDynamo SCAN 
Step RC Energy
0 -1.1544591831 -39382.039679
1 -1.0000626765 -39381.1845401
2 -0.849073257876 -39377.6821698
3 -0.700647895694 -39369.933363
4 -0.551090063691 -39356.425547
5 -0.397897847305 -39337.3609294
6 -0.22212966383 -39323.8311245
7 -0.0395581199966 -39308.1809348
8 0.17117539996 -39322.9554047
9 0.362416423619 -39324.8396575
10 0.553231139974 -39328.6056328
11 0.744704763582 -39331.765438
12 0.947648108354 -39335.8896324
13 1.14411016176 -39337.3309243
14 1.34635668518 -39337.5463053
